measurement_id,sample_id,replicate_id,sensor_id,target_bacterium,species_code,sensor_state,sensor_state_code,contamination_status,surface_type,sensor_lot,experimental_batch,operator_id,measurement_date,incubation_time_h,incubation_temperature_C,sample_mean_cfu_mL,sample_log10_mean_cfu_mL,qc_flag
EC_005_R2_0,EC_005,2,L01-EC_005-R2,Escherichia coli,EC,carbon_clean,0,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R2_1,EC_005,2,L01-EC_005-R2,Escherichia coli,EC,capture_probe,1,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R2_2,EC_005,2,L01-EC_005-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R3_0,EC_005,3,L01-EC_005-R3,Escherichia coli,EC,carbon_clean,0,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R3_1,EC_005,3,L01-EC_005-R3,Escherichia coli,EC,capture_probe,1,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_005_R3_2,EC_005,3,L01-EC_005-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L01,B02,OP02,2026-09-02,4.21,36.7,3666.667,3.5643,PASS
EC_006_R1_0,EC_006,1,L01-EC_006-R1,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,REVIEW
EC_006_R1_1,EC_006,1,L01-EC_006-R1,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R1_2,EC_006,1,L01-EC_006-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R2_0,EC_006,2,L01-EC_006-R2,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R2_1,EC_006,2,L01-EC_006-R2,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R2_2,EC_006,2,L01-EC_006-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R3_0,EC_006,3,L01-EC_006-R3,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R3_1,EC_006,3,L01-EC_006-R3,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_006_R3_2,EC_006,3,L01-EC_006-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L01,B10,OP02,2026-09-03,3.65,37.2,546666.667,5.7377,PASS
EC_007_R1_0,EC_007,1,L01-EC_007-R1,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R1_1,EC_007,1,L01-EC_007-R1,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R1_2,EC_007,1,L01-EC_007-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R2_0,EC_007,2,L01-EC_007-R2,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R2_1,EC_007,2,L01-EC_007-R2,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R2_2,EC_007,2,L01-EC_007-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R3_0,EC_007,3,L01-EC_007-R3,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R3_1,EC_007,3,L01-EC_007-R3,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_007_R3_2,EC_007,3,L01-EC_007-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L01,B05,OP01,2026-08-06,3.95,37.2,15166.667,4.1809,PASS
EC_008_R1_0,EC_008,1,L03-EC_008-R1,Escherichia coli,EC,carbon_clean,0,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R1_1,EC_008,1,L03-EC_008-R1,Escherichia coli,EC,capture_probe,1,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R1_2,EC_008,1,L03-EC_008-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R2_0,EC_008,2,L03-EC_008-R2,Escherichia coli,EC,carbon_clean,0,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R2_1,EC_008,2,L03-EC_008-R2,Escherichia coli,EC,capture_probe,1,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R2_2,EC_008,2,L03-EC_008-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R3_0,EC_008,3,L03-EC_008-R3,Escherichia coli,EC,carbon_clean,0,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R3_1,EC_008,3,L03-EC_008-R3,Escherichia coli,EC,capture_probe,1,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_008_R3_2,EC_008,3,L03-EC_008-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Aço inoxidável 304,L03,B03,OP02,2026-08-29,3.68,37.7,0.0,,PASS
EC_009_R1_0,EC_009,1,L02-EC_009-R1,Escherichia coli,EC,carbon_clean,0,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R1_1,EC_009,1,L02-EC_009-R1,Escherichia coli,EC,capture_probe,1,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R1_2,EC_009,1,L02-EC_009-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R2_0,EC_009,2,L02-EC_009-R2,Escherichia coli,EC,carbon_clean,0,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R2_1,EC_009,2,L02-EC_009-R2,Escherichia coli,EC,capture_probe,1,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R2_2,EC_009,2,L02-EC_009-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R3_0,EC_009,3,L02-EC_009-R3,Escherichia coli,EC,carbon_clean,0,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R3_1,EC_009,3,L02-EC_009-R3,Escherichia coli,EC,capture_probe,1,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_009_R3_2,EC_009,3,L02-EC_009-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polipropileno,L02,B03,OP02,2026-08-26,3.67,37.1,311000.0,5.4928,PASS
EC_010_R1_0,EC_010,1,L05-EC_010-R1,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R1_1,EC_010,1,L05-EC_010-R1,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R1_2,EC_010,1,L05-EC_010-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R2_0,EC_010,2,L05-EC_010-R2,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R2_1,EC_010,2,L05-EC_010-R2,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R2_2,EC_010,2,L05-EC_010-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,FAIL
EC_010_R3_0,EC_010,3,L05-EC_010-R3,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R3_1,EC_010,3,L05-EC_010-R3,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_010_R3_2,EC_010,3,L05-EC_010-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L05,B06,OP01,2026-09-05,4.29,36.5,6566666.667,6.8173,PASS
EC_011_R1_0,EC_011,1,L02-EC_011-R1,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R1_1,EC_011,1,L02-EC_011-R1,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R1_2,EC_011,1,L02-EC_011-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R2_0,EC_011,2,L02-EC_011-R2,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R2_1,EC_011,2,L02-EC_011-R2,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R2_2,EC_011,2,L02-EC_011-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R3_0,EC_011,3,L02-EC_011-R3,Escherichia coli,EC,carbon_clean,0,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R3_1,EC_011,3,L02-EC_011-R3,Escherichia coli,EC,capture_probe,1,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_011_R3_2,EC_011,3,L02-EC_011-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Polietileno de alta densidade,L02,B02,OP03,2026-08-19,4.13,37.9,2636666.667,6.4211,PASS
EC_012_R1_0,EC_012,1,L04-EC_012-R1,Escherichia coli,EC,carbon_clean,0,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R1_1,EC_012,1,L04-EC_012-R1,Escherichia coli,EC,capture_probe,1,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R1_2,EC_012,1,L04-EC_012-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R2_0,EC_012,2,L04-EC_012-R2,Escherichia coli,EC,carbon_clean,0,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R2_1,EC_012,2,L04-EC_012-R2,Escherichia coli,EC,capture_probe,1,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R2_2,EC_012,2,L04-EC_012-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R3_0,EC_012,3,L04-EC_012-R3,Escherichia coli,EC,carbon_clean,0,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R3_1,EC_012,3,L04-EC_012-R3,Escherichia coli,EC,capture_probe,1,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_012_R3_2,EC_012,3,L04-EC_012-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Vidro,L04,B07,OP03,2026-09-13,4.08,37.1,74000.0,4.8692,PASS
EC_013_R1_0,EC_013,1,L04-EC_013-R1,Escherichia coli,EC,carbon_clean,0,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R1_1,EC_013,1,L04-EC_013-R1,Escherichia coli,EC,capture_probe,1,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R1_2,EC_013,1,L04-EC_013-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R2_0,EC_013,2,L04-EC_013-R2,Escherichia coli,EC,carbon_clean,0,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R2_1,EC_013,2,L04-EC_013-R2,Escherichia coli,EC,capture_probe,1,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R2_2,EC_013,2,L04-EC_013-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R3_0,EC_013,3,L04-EC_013-R3,Escherichia coli,EC,carbon_clean,0,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R3_1,EC_013,3,L04-EC_013-R3,Escherichia coli,EC,capture_probe,1,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_013_R3_2,EC_013,3,L04-EC_013-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,0,Polipropileno,L04,B07,OP02,2026-09-13,4.0,37.4,0.0,,PASS
EC_014_R1_0,EC_014,1,L02-EC_014-R1,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R1_1,EC_014,1,L02-EC_014-R1,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R1_2,EC_014,1,L02-EC_014-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R2_0,EC_014,2,L02-EC_014-R2,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R2_1,EC_014,2,L02-EC_014-R2,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,REVIEW
EC_014_R2_2,EC_014,2,L02-EC_014-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R3_0,EC_014,3,L02-EC_014-R3,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R3_1,EC_014,3,L02-EC_014-R3,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_014_R3_2,EC_014,3,L02-EC_014-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L02,B06,OP03,2026-09-08,3.68,36.9,13833.333,4.1409,PASS
EC_015_R1_0,EC_015,1,L02-EC_015-R1,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R1_1,EC_015,1,L02-EC_015-R1,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R1_2,EC_015,1,L02-EC_015-R1,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R2_0,EC_015,2,L02-EC_015-R2,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R2_1,EC_015,2,L02-EC_015-R2,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R2_2,EC_015,2,L02-EC_015-R2,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R3_0,EC_015,3,L02-EC_015-R3,Escherichia coli,EC,carbon_clean,0,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R3_1,EC_015,3,L02-EC_015-R3,Escherichia coli,EC,capture_probe,1,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_015_R3_2,EC_015,3,L02-EC_015-R3,Escherichia coli,EC,capture_probe_16S_rRNA,2,1,Aço inoxidável 304,L02,B04,OP03,2026-09-04,4.43,36.9,5166666.667,6.7132,PASS
EC_016_R1_0,EC_016,1,L04-EC_016-R1,Escherichia coli,EC,carbon_clean,0,1,Polipropileno,L04,B10,OP02,2026-09-07,3.8,37.0,18433.333,4.2656,PASS
EC_016_R1_1,EC_016,1,L04-EC_016-R1,Escherichia coli,EC,capture_probe,1,1,Polipropileno,L04,B10,OP02,2026-09-07,3.8,37.0,18433.333,4.2656,PASS
