sample_id,plating_replicate_id,target_bacterium,contamination_status,plated_volume_mL,dilution_exponent,dilution_label,colony_count,plating_qualifier,calculated_cfu_mL,log10_cfu_mL
EC_024,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_024,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_024,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_025,1,Escherichia coli,1,0.1,3,10^-3,67,Contável,670000.0,5.8261
EC_025,2,Escherichia coli,1,0.1,3,10^-3,53,Contável,530000.0,5.7243
EC_025,3,Escherichia coli,1,0.1,3,10^-3,71,Contável,710000.0,5.8513
EC_026,1,Escherichia coli,1,0.1,3,10^-3,145,Contável,1450000.0,6.1614
EC_026,2,Escherichia coli,1,0.1,3,10^-3,160,Contável,1600000.0,6.2041
EC_026,3,Escherichia coli,1,0.1,3,10^-3,154,Contável,1540000.0,6.1875
EC_027,1,Escherichia coli,1,0.1,3,10^-3,54,Contável,540000.0,5.7324
EC_027,2,Escherichia coli,1,0.1,3,10^-3,52,Contável,520000.0,5.716
EC_027,3,Escherichia coli,1,0.1,3,10^-3,44,Contável,440000.0,5.6435
EC_028,1,Escherichia coli,1,0.1,4,10^-4,22,Abaixo da faixa contável,2200000.0,6.3424
EC_028,2,Escherichia coli,1,0.1,4,10^-4,24,Abaixo da faixa contável,2400000.0,6.3802
EC_028,3,Escherichia coli,1,0.1,3,10^-3,233,Contável,2330000.0,6.3674
EC_029,1,Escherichia coli,1,0.1,0,10^-0,62,Contável,620.0,2.7924
EC_029,2,Escherichia coli,1,0.1,0,10^-0,47,Contável,470.0,2.6721
EC_029,3,Escherichia coli,1,0.1,0,10^-0,70,Contável,700.0,2.8451
EC_030,1,Escherichia coli,1,0.1,0,10^-0,42,Contável,420.0,2.6232
EC_030,2,Escherichia coli,1,0.1,0,10^-0,49,Contável,490.0,2.6902
EC_030,3,Escherichia coli,1,0.1,0,10^-0,41,Contável,410.0,2.6128
EC_031,1,Escherichia coli,1,0.1,3,10^-3,371,Acima da faixa contável,3710000.0,6.5694
EC_031,2,Escherichia coli,1,0.1,4,10^-4,36,Contável,3600000.0,6.5563
EC_031,3,Escherichia coli,1,0.1,3,10^-3,362,Acima da faixa contável,3620000.0,6.5587
EC_032,1,Escherichia coli,1,0.1,1,10^-1,174,Contável,17400.0,4.2405
EC_032,2,Escherichia coli,1,0.1,1,10^-1,143,Contável,14300.0,4.1553
EC_032,3,Escherichia coli,1,0.1,1,10^-1,171,Contável,17100.0,4.233
EC_033,1,Escherichia coli,1,0.1,4,10^-4,192,Contável,19200000.0,7.2833
EC_033,2,Escherichia coli,1,0.1,4,10^-4,176,Contável,17600000.0,7.2455
EC_033,3,Escherichia coli,1,0.1,4,10^-4,199,Contável,19900000.0,7.2989
EC_034,1,Escherichia coli,1,0.1,1,10^-1,77,Contável,7700.0,3.8865
EC_034,2,Escherichia coli,1,0.1,1,10^-1,75,Contável,7500.0,3.8751
EC_034,3,Escherichia coli,1,0.1,1,10^-1,88,Contável,8800.0,3.9445
EC_035,1,Escherichia coli,1,0.1,2,10^-2,129,Contável,129000.0,5.1106
EC_035,2,Escherichia coli,1,0.1,2,10^-2,120,Contável,120000.0,5.0792
EC_035,3,Escherichia coli,1,0.1,2,10^-2,128,Contável,128000.0,5.1072
EC_036,1,Escherichia coli,1,0.1,2,10^-2,147,Contável,147000.0,5.1673
EC_036,2,Escherichia coli,1,0.1,2,10^-2,148,Contável,148000.0,5.1703
EC_036,3,Escherichia coli,1,0.1,2,10^-2,184,Contável,184000.0,5.2648
EC_037,1,Escherichia coli,1,0.1,1,10^-1,43,Contável,4300.0,3.6335
EC_037,2,Escherichia coli,1,0.1,1,10^-1,27,Abaixo da faixa contável,2700.0,3.4314
EC_037,3,Escherichia coli,1,0.1,1,10^-1,34,Contável,3400.0,3.5315
EC_038,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_038,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_038,3,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_039,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_039,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_039,3,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_040,1,Escherichia coli,1,0.1,2,10^-2,168,Contável,168000.0,5.2253
EC_040,2,Escherichia coli,1,0.1,2,10^-2,197,Contável,197000.0,5.2945
EC_040,3,Escherichia coli,1,0.1,2,10^-2,191,Contável,191000.0,5.281
EC_041,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_041,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_041,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_042,1,Escherichia coli,1,0.1,4,10^-4,90,Contável,9000000.0,6.9542
EC_042,2,Escherichia coli,1,0.1,4,10^-4,96,Contável,9600000.0,6.9823
EC_042,3,Escherichia coli,1,0.1,4,10^-4,88,Contável,8800000.0,6.9445
EC_043,1,Escherichia coli,1,0.1,3,10^-3,166,Contável,1660000.0,6.2201
EC_043,2,Escherichia coli,1,0.1,3,10^-3,184,Contável,1840000.0,6.2648
EC_043,3,Escherichia coli,1,0.1,3,10^-3,191,Contável,1910000.0,6.281
EC_044,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_044,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_044,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_045,1,Escherichia coli,0,0.1,0,10^-0,2,Colônias ocasionais,20.0,1.301
EC_045,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_045,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_046,1,Escherichia coli,1,0.1,1,10^-1,42,Contável,4200.0,3.6232
EC_046,2,Escherichia coli,1,0.1,1,10^-1,38,Contável,3800.0,3.5798
EC_046,3,Escherichia coli,1,0.1,1,10^-1,42,Contável,4200.0,3.6232
EC_047,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_047,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_047,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_048,1,Escherichia coli,1,0.1,0,10^-0,213,Contável,2130.0,3.3284
EC_048,2,Escherichia coli,1,0.1,0,10^-0,210,Contável,2100.0,3.3222
EC_048,3,Escherichia coli,1,0.1,0,10^-0,208,Contável,2080.0,3.3181
EC_049,1,Escherichia coli,1,0.1,4,10^-4,133,Contável,13300000.0,7.1239
EC_049,2,Escherichia coli,1,0.1,4,10^-4,135,Contável,13500000.0,7.1303
EC_049,3,Escherichia coli,1,0.1,4,10^-4,157,Contável,15700000.0,7.1959
EC_050,1,Escherichia coli,1,0.1,4,10^-4,39,Contável,3900000.0,6.5911
EC_050,2,Escherichia coli,1,0.1,4,10^-4,55,Contável,5500000.0,6.7404
EC_050,3,Escherichia coli,1,0.1,3,10^-3,489,Acima da faixa contável,4890000.0,6.6893
EC_051,1,Escherichia coli,1,0.1,4,10^-4,188,Contável,18800000.0,7.2742
EC_051,2,Escherichia coli,1,0.1,4,10^-4,191,Contável,19100000.0,7.281
EC_051,3,Escherichia coli,1,0.1,4,10^-4,195,Contável,19500000.0,7.29
EC_052,1,Escherichia coli,1,0.1,2,10^-2,21,Abaixo da faixa contável,21000.0,4.3222
EC_052,2,Escherichia coli,1,0.1,1,10^-1,288,Contável,28800.0,4.4594
EC_052,3,Escherichia coli,1,0.1,1,10^-1,258,Contável,25800.0,4.4116
EC_053,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_053,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_053,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_054,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_054,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_054,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_055,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_055,2,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_055,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_056,1,Escherichia coli,1,0.1,1,10^-1,152,Contável,15200.0,4.1818
EC_056,2,Escherichia coli,1,0.1,1,10^-1,175,Contável,17500.0,4.243
EC_056,3,Escherichia coli,1,0.1,1,10^-1,171,Contável,17100.0,4.233
EC_057,1,Escherichia coli,1,0.1,1,10^-1,64,Contável,6400.0,3.8062
EC_057,2,Escherichia coli,1,0.1,1,10^-1,49,Contável,4900.0,3.6902
EC_057,3,Escherichia coli,1,0.1,1,10^-1,53,Contável,5300.0,3.7243
EC_058,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_058,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_058,3,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_059,1,Escherichia coli,1,0.1,0,10^-0,33,Contável,330.0,2.5185
EC_059,2,Escherichia coli,1,0.1,0,10^-0,47,Contável,470.0,2.6721
EC_059,3,Escherichia coli,1,0.1,0,10^-0,48,Contável,480.0,2.6812
EC_060,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_060,2,Escherichia coli,0,0.1,0,10^-0,2,Colônias ocasionais,20.0,1.301
EC_060,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_061,1,Escherichia coli,1,0.1,1,10^-1,167,Contável,16700.0,4.2227
EC_061,2,Escherichia coli,1,0.1,1,10^-1,195,Contável,19500.0,4.29
EC_061,3,Escherichia coli,1,0.1,1,10^-1,210,Contável,21000.0,4.3222
EC_062,1,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_062,2,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_062,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_063,1,Escherichia coli,1,0.1,4,10^-4,83,Contável,8300000.0,6.9191
EC_063,2,Escherichia coli,1,0.1,4,10^-4,101,Contável,10100000.0,7.0043
EC_063,3,Escherichia coli,1,0.1,4,10^-4,100,Contável,10000000.0,7.0
EC_064,1,Escherichia coli,1,0.1,1,10^-1,89,Contável,8900.0,3.9494
EC_064,2,Escherichia coli,1,0.1,1,10^-1,92,Contável,9200.0,3.9638
EC_064,3,Escherichia coli,1,0.1,1,10^-1,87,Contável,8700.0,3.9395
EC_065,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_065,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_065,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_066,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_066,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_066,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_067,1,Escherichia coli,1,0.1,3,10^-3,187,Contável,1870000.0,6.2718
EC_067,2,Escherichia coli,1,0.1,3,10^-3,181,Contável,1810000.0,6.2577
EC_067,3,Escherichia coli,1,0.1,3,10^-3,179,Contável,1790000.0,6.2529
EC_068,1,Escherichia coli,1,0.1,3,10^-3,344,Acima da faixa contável,3440000.0,6.5366
EC_068,2,Escherichia coli,1,0.1,3,10^-3,329,Acima da faixa contável,3290000.0,6.5172
EC_068,3,Escherichia coli,1,0.1,4,10^-4,34,Contável,3400000.0,6.5315
EC_069,1,Escherichia coli,1,0.1,3,10^-3,158,Contável,1580000.0,6.1987
EC_069,2,Escherichia coli,1,0.1,3,10^-3,154,Contável,1540000.0,6.1875
EC_069,3,Escherichia coli,1,0.1,3,10^-3,144,Contável,1440000.0,6.1584
EC_070,1,Escherichia coli,1,0.1,1,10^-1,148,Contável,14800.0,4.1703
EC_070,2,Escherichia coli,1,0.1,1,10^-1,142,Contável,14200.0,4.1523
EC_070,3,Escherichia coli,1,0.1,1,10^-1,151,Contável,15100.0,4.179
EC_071,1,Escherichia coli,1,0.1,4,10^-4,83,Contável,8300000.0,6.9191
EC_071,2,Escherichia coli,1,0.1,4,10^-4,74,Contável,7400000.0,6.8692
EC_071,3,Escherichia coli,1,0.1,4,10^-4,84,Contável,8400000.0,6.9243
EC_072,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_072,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_072,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_073,1,Escherichia coli,1,0.1,0,10^-0,213,Contável,2130.0,3.3284
EC_073,2,Escherichia coli,1,0.1,0,10^-0,212,Contável,2120.0,3.3263
EC_073,3,Escherichia coli,1,0.1,0,10^-0,203,Contável,2030.0,3.3075
EC_074,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_074,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_074,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_075,1,Escherichia coli,1,0.1,4,10^-4,132,Contável,13200000.0,7.1206
EC_075,2,Escherichia coli,1,0.1,4,10^-4,129,Contável,12900000.0,7.1106
EC_075,3,Escherichia coli,1,0.1,4,10^-4,132,Contável,13200000.0,7.1206
EC_076,1,Escherichia coli,1,0.1,3,10^-3,59,Contável,590000.0,5.7709
EC_076,2,Escherichia coli,1,0.1,3,10^-3,66,Contável,660000.0,5.8195
EC_076,3,Escherichia coli,1,0.1,3,10^-3,58,Contável,580000.0,5.7634
EC_077,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_077,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_077,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_078,1,Escherichia coli,1,0.1,2,10^-2,17,Abaixo da faixa contável,17000.0,4.2304
EC_078,2,Escherichia coli,1,0.1,2,10^-2,24,Abaixo da faixa contável,24000.0,4.3802
EC_078,3,Escherichia coli,1,0.1,1,10^-1,195,Contável,19500.0,4.29
EC_079,1,Escherichia coli,1,0.1,4,10^-4,63,Contável,6300000.0,6.7993
EC_079,2,Escherichia coli,1,0.1,4,10^-4,61,Contável,6100000.0,6.7853
EC_079,3,Escherichia coli,1,0.1,4,10^-4,49,Contável,4900000.0,6.6902
EC_080,1,Escherichia coli,1,0.1,0,10^-0,97,Contável,970.0,2.9868
EC_080,2,Escherichia coli,1,0.1,0,10^-0,105,Contável,1050.0,3.0212
EC_080,3,Escherichia coli,1,0.1,0,10^-0,134,Contável,1340.0,3.1271
EC_081,1,Escherichia coli,1,0.1,0,10^-0,90,Contável,900.0,2.9542
EC_081,2,Escherichia coli,1,0.1,0,10^-0,118,Contável,1180.0,3.0719
EC_081,3,Escherichia coli,1,0.1,0,10^-0,86,Contável,860.0,2.9345
EC_082,1,Escherichia coli,1,0.1,3,10^-3,253,Contável,2530000.0,6.4031
EC_082,2,Escherichia coli,1,0.1,3,10^-3,243,Contável,2430000.0,6.3856
EC_082,3,Escherichia coli,1,0.1,3,10^-3,281,Contável,2810000.0,6.4487
EC_083,1,Escherichia coli,1,0.1,0,10^-0,42,Contável,420.0,2.6232
EC_083,2,Escherichia coli,1,0.1,0,10^-0,51,Contável,510.0,2.7076
EC_083,3,Escherichia coli,1,0.1,0,10^-0,42,Contável,420.0,2.6232
EC_084,1,Escherichia coli,1,0.1,1,10^-1,15,Abaixo da faixa contável,1500.0,3.1761
EC_084,2,Escherichia coli,1,0.1,1,10^-1,29,Abaixo da faixa contável,2900.0,3.4624
EC_084,3,Escherichia coli,1,0.1,0,10^-0,294,Contável,2940.0,3.4683
EC_085,1,Escherichia coli,1,0.1,3,10^-3,78,Contável,780000.0,5.8921
EC_085,2,Escherichia coli,1,0.1,3,10^-3,56,Contável,560000.0,5.7482
EC_085,3,Escherichia coli,1,0.1,3,10^-3,53,Contável,530000.0,5.7243
EC_086,1,Escherichia coli,1,0.1,0,10^-0,103,Contável,1030.0,3.0128
EC_086,2,Escherichia coli,1,0.1,0,10^-0,102,Contável,1020.0,3.0086
EC_086,3,Escherichia coli,1,0.1,0,10^-0,64,Contável,640.0,2.8062
EC_087,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_087,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_087,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_088,1,Escherichia coli,1,0.1,1,10^-1,33,Contável,3300.0,3.5185
EC_088,2,Escherichia coli,1,0.1,0,10^-0,445,Acima da faixa contável,4450.0,3.6484
EC_088,3,Escherichia coli,1,0.1,1,10^-1,43,Contável,4300.0,3.6335
EC_089,1,Escherichia coli,1,0.1,0,10^-0,129,Contável,1290.0,3.1106
EC_089,2,Escherichia coli,1,0.1,0,10^-0,122,Contável,1220.0,3.0864
EC_089,3,Escherichia coli,1,0.1,0,10^-0,133,Contável,1330.0,3.1239
EC_090,1,Escherichia coli,1,0.1,2,10^-2,71,Contável,71000.0,4.8513
EC_090,2,Escherichia coli,1,0.1,2,10^-2,73,Contável,73000.0,4.8633
EC_090,3,Escherichia coli,1,0.1,2,10^-2,75,Contável,75000.0,4.8751
EC_091,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_091,2,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_091,3,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_092,1,Escherichia coli,1,0.1,0,10^-0,21,Abaixo da faixa contável,210.0,2.3222
EC_092,2,Escherichia coli,1,0.1,0,10^-0,23,Abaixo da faixa contável,230.0,2.3617
EC_092,3,Escherichia coli,1,0.1,0,10^-0,26,Abaixo da faixa contável,260.0,2.415
EC_093,1,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_093,2,Escherichia coli,0,0.1,0,10^-0,0,Sem crescimento,0.0,
EC_093,3,Escherichia coli,0,0.1,0,10^-0,1,Colônias ocasionais,10.0,1.0
EC_094,1,Escherichia coli,1,0.1,4,10^-4,220,Contável,22000000.0,7.3424
EC_094,2,Escherichia coli,1,0.1,4,10^-4,216,Contável,21600000.0,7.3345
EC_094,3,Escherichia coli,1,0.1,4,10^-4,225,Contável,22500000.0,7.3522
EC_095,1,Escherichia coli,1,0.1,2,10^-2,61,Contável,61000.0,4.7853
EC_095,2,Escherichia coli,1,0.1,2,10^-2,61,Contável,61000.0,4.7853
EC_095,3,Escherichia coli,1,0.1,2,10^-2,58,Contável,58000.0,4.7634
EC_096,1,Escherichia coli,1,0.1,2,10^-2,228,Contável,228000.0,5.3579
EC_096,2,Escherichia coli,1,0.1,2,10^-2,208,Contável,208000.0,5.3181
EC_096,3,Escherichia coli,1,0.1,2,10^-2,240,Contável,240000.0,5.3802
EC_097,1,Escherichia coli,1,0.1,1,10^-1,173,Contável,17300.0,4.238
EC_097,2,Escherichia coli,1,0.1,1,10^-1,187,Contável,18700.0,4.2718
EC_097,3,Escherichia coli,1,0.1,1,10^-1,207,Contável,20700.0,4.316
EC_098,1,Escherichia coli,1,0.1,1,10^-1,325,Acima da faixa contável,32500.0,4.5119
EC_098,2,Escherichia coli,1,0.1,1,10^-1,333,Acima da faixa contável,33300.0,4.5224
EC_098,3,Escherichia coli,1,0.1,1,10^-1,315,Acima da faixa contável,31500.0,4.4983
EC_099,1,Escherichia coli,1,0.1,2,10^-2,167,Contável,167000.0,5.2227
EC_099,2,Escherichia coli,1,0.1,2,10^-2,198,Contável,198000.0,5.2967
EC_099,3,Escherichia coli,1,0.1,2,10^-2,161,Contável,161000.0,5.2068
EC_100,1,Escherichia coli,1,0.1,4,10^-4,102,Contável,10200000.0,7.0086
EC_100,2,Escherichia coli,1,0.1,4,10^-4,85,Contável,8500000.0,6.9294
EC_100,3,Escherichia coli,1,0.1,4,10^-4,103,Contável,10300000.0,7.0128
SA_001,1,Staphylococcus aureus,1,0.1,2,10^-2,104,Contável,104000.0,5.017
SA_001,2,Staphylococcus aureus,1,0.1,2,10^-2,94,Contável,94000.0,4.9731
SA_001,3,Staphylococcus aureus,1,0.1,2,10^-2,96,Contável,96000.0,4.9823
SA_002,1,Staphylococcus aureus,1,0.1,2,10^-2,95,Contável,95000.0,4.9777
SA_002,2,Staphylococcus aureus,1,0.1,2,10^-2,109,Contável,109000.0,5.0374
SA_002,3,Staphylococcus aureus,1,0.1,2,10^-2,97,Contável,97000.0,4.9868
SA_003,1,Staphylococcus aureus,1,0.1,1,10^-1,34,Contável,3400.0,3.5315
SA_003,2,Staphylococcus aureus,1,0.1,1,10^-1,42,Contável,4200.0,3.6232
SA_003,3,Staphylococcus aureus,1,0.1,0,10^-0,397,Acima da faixa contável,3970.0,3.5988
