sample_id,target_bacterium,contamination_status,sensor_lot,experimental_batch,sample_mean_cfu_ml,sample_log10_mean_cfu_ml,plating_cfu_ml_mean,plating_log10_cfu_ml_mean,plating_replicate_count
EC_059,Escherichia coli,1,L02,B01,426.667,2.6301,426.6666666666667,2.6239333333333335,3
EC_060,Escherichia coli,0,L03,B09,6.667,0.8239,6.666666666666667,1.301,3
EC_061,Escherichia coli,1,L03,B04,19066.667,4.2803,19066.666666666668,4.2783,3
EC_062,Escherichia coli,0,L03,B03,6.667,0.8239,6.666666666666667,1.0,3
EC_063,Escherichia coli,1,L01,B02,9466666.667,6.9762,9466666.666666666,6.974466666666667,3
EC_064,Escherichia coli,1,L04,B02,8933.333,3.951,8933.333333333334,3.9508999999999994,3
EC_065,Escherichia coli,0,L04,B05,0.0,,0.0,,3
EC_066,Escherichia coli,0,L01,B06,0.0,,0.0,,3
EC_067,Escherichia coli,1,L01,B03,1823333.333,6.2609,1823333.3333333333,6.2608,3
EC_068,Escherichia coli,1,L02,B04,3376666.667,6.5285,3376666.6666666665,6.528433333333333,3
EC_069,Escherichia coli,1,L01,B05,1520000.0,6.1818,1520000.0,6.181533333333333,3
EC_070,Escherichia coli,1,L02,B02,14700.0,4.1673,14700.0,4.1672,3
EC_071,Escherichia coli,1,L02,B09,8033333.333,6.9049,8033333.333333333,6.9042,3
EC_072,Escherichia coli,0,L01,B04,0.0,,0.0,,3
EC_073,Escherichia coli,1,L03,B07,2093.333,3.3208,2093.3333333333335,3.320733333333333,3
EC_074,Escherichia coli,0,L04,B07,0.0,,0.0,,3
EC_075,Escherichia coli,1,L04,B02,13100000.0,7.1173,13100000.0,7.117266666666666,3
EC_076,Escherichia coli,1,L04,B01,610000.0,5.7853,610000.0,5.7846,3
EC_077,Escherichia coli,0,L04,B06,0.0,,0.0,,3
EC_078,Escherichia coli,1,L03,B01,20166.667,4.3046,20166.666666666668,4.3002,3
EC_079,Escherichia coli,1,L05,B10,5766666.667,6.7609,5766666.666666667,6.758266666666667,3
EC_080,Escherichia coli,1,L05,B07,1120.0,3.0492,1120.0,3.045033333333333,3
EC_081,Escherichia coli,1,L02,B07,980.0,2.9912,980.0,2.9868666666666663,3
EC_082,Escherichia coli,1,L01,B02,2590000.0,6.4133,2590000.0,6.412466666666667,3
EC_083,Escherichia coli,1,L05,B05,450.0,2.6532,450.0,2.6513333333333335,3
EC_084,Escherichia coli,1,L03,B06,2446.667,3.3886,2446.6666666666665,3.368933333333333,3
EC_085,Escherichia coli,1,L04,B03,623333.333,5.7947,623333.3333333334,5.7882,3
EC_086,Escherichia coli,1,L05,B06,896.667,2.9526,896.6666666666666,2.9425333333333334,3
EC_087,Escherichia coli,0,L05,B10,0.0,,0.0,,3
EC_088,Escherichia coli,1,L05,B04,4016.667,3.6039,4016.6666666666665,3.6001333333333334,3
EC_089,Escherichia coli,1,L01,B10,1280.0,3.1072,1280.0,3.1069666666666667,3
EC_090,Escherichia coli,1,L05,B08,73000.0,4.8633,73000.0,4.8632333333333335,3
EC_091,Escherichia coli,0,L04,B09,3.333,0.5229,3.3333333333333335,1.0,3
EC_092,Escherichia coli,1,L02,B03,233.333,2.368,233.33333333333334,2.3663000000000003,3
EC_093,Escherichia coli,0,L04,B03,3.333,0.5229,3.3333333333333335,1.0,3
EC_094,Escherichia coli,1,L04,B10,22033333.333,7.3431,22033333.333333332,7.3430333333333335,3
EC_095,Escherichia coli,1,L05,B10,60000.0,4.7782,60000.0,4.778,3
EC_096,Escherichia coli,1,L04,B02,225333.333,5.3528,225333.33333333334,5.3520666666666665,3
EC_097,Escherichia coli,1,L02,B01,18900.0,4.2765,18900.0,4.275266666666667,3
EC_098,Escherichia coli,1,L02,B06,32433.333,4.511,32433.333333333332,4.510866666666667,3
EC_099,Escherichia coli,1,L05,B07,175333.333,5.2439,175333.33333333334,5.242066666666667,3
EC_100,Escherichia coli,1,L05,B07,9666666.667,6.9853,9666666.666666666,6.9836,3
SA_001,Staphylococcus aureus,1,L01,B06,98000.0,4.9912,98000.0,4.9908,3
SA_002,Staphylococcus aureus,1,L05,B01,100333.333,5.0014,100333.33333333333,5.000633333333333,3
SA_003,Staphylococcus aureus,1,L02,B03,3856.667,3.5862,3856.6666666666665,3.5845000000000002,3
SA_004,Staphylococcus aureus,0,L04,B06,6.667,0.8239,6.666666666666667,1.0,3
SA_005,Staphylococcus aureus,1,L02,B03,58666.667,4.7684,58666.666666666664,4.767966666666667,3
SA_006,Staphylococcus aureus,1,L03,B03,40266.667,4.6049,40266.666666666664,4.604733333333333,3
SA_007,Staphylococcus aureus,1,L04,B04,973333.333,5.9883,973333.3333333334,5.987966666666666,3
SA_008,Staphylococcus aureus,0,L01,B03,6.667,0.8239,6.666666666666667,1.0,3
SA_009,Staphylococcus aureus,1,L05,B10,3933.333,3.5948,3933.3333333333335,3.5939666666666668,3
SA_010,Staphylococcus aureus,0,L02,B01,3.333,0.5229,3.3333333333333335,1.0,3
SA_011,Staphylococcus aureus,1,L02,B08,349333.333,5.5432,349333.3333333333,5.5431,3
SA_012,Staphylococcus aureus,1,L05,B04,246.667,2.3921,246.66666666666666,2.3911,3
SA_013,Staphylococcus aureus,1,L02,B08,616.667,2.7901,616.6666666666666,2.7849000000000004,3
SA_014,Staphylococcus aureus,1,L03,B06,262666.667,5.4194,262666.6666666667,5.415866666666666,3
SA_015,Staphylococcus aureus,1,L04,B03,213.333,2.3291,213.33333333333334,2.286966666666667,3
SA_016,Staphylococcus aureus,0,L03,B02,0.0,,0.0,,3
SA_017,Staphylococcus aureus,1,L01,B02,2610000.0,6.4166,2610000.0,6.4142,3
SA_018,Staphylococcus aureus,0,L05,B03,3.333,0.5229,3.3333333333333335,1.0,3
SA_019,Staphylococcus aureus,1,L03,B01,62000.0,4.7924,62000.0,4.792133333333333,3
SA_020,Staphylococcus aureus,0,L05,B04,3.333,0.5229,3.3333333333333335,1.0,3
SA_021,Staphylococcus aureus,0,L03,B05,0.0,,0.0,,3
SA_022,Staphylococcus aureus,0,L03,B02,13.333,1.1249,13.333333333333334,1.301,3
SA_023,Staphylococcus aureus,1,L04,B09,4163333.333,6.6194,4163333.3333333335,6.6194,3
SA_024,Staphylococcus aureus,0,L05,B09,3.333,0.5229,3.3333333333333335,1.0,3
SA_025,Staphylococcus aureus,1,L05,B06,41133.333,4.6142,41133.333333333336,4.613700000000001,3
SA_026,Staphylococcus aureus,1,L01,B09,16900.0,4.2279,16900.0,4.227833333333333,3
SA_027,Staphylococcus aureus,1,L05,B06,1323333.333,6.1217,1323333.3333333333,6.121366666666667,3
SA_028,Staphylococcus aureus,1,L05,B05,1816.667,3.2593,1816.6666666666667,3.2591,3
SA_029,Staphylococcus aureus,1,L03,B10,16100.0,4.2068,16100.0,4.206466666666667,3
SA_030,Staphylococcus aureus,0,L03,B10,6.667,0.8239,6.666666666666667,1.0,3
SA_031,Staphylococcus aureus,1,L01,B03,4800000.0,6.6812,4800000.0,6.680033333333333,3
SA_032,Staphylococcus aureus,1,L03,B09,266.667,2.426,266.6666666666667,2.4227000000000003,3
SA_033,Staphylococcus aureus,1,L01,B10,276.667,2.442,276.6666666666667,2.4415333333333336,3
SA_034,Staphylococcus aureus,0,L01,B08,6.667,0.8239,6.666666666666667,1.0,3
SA_035,Staphylococcus aureus,1,L05,B04,77000.0,4.8865,77000.0,4.885633333333334,3
SA_036,Staphylococcus aureus,1,L01,B06,1626666.667,6.2113,1626666.6666666667,6.2106666666666674,3
SA_037,Staphylococcus aureus,0,L04,B09,3.333,0.5229,3.3333333333333335,1.0,3
SA_038,Staphylococcus aureus,1,L05,B07,55333.333,4.743,55333.333333333336,4.742233333333334,3
SA_039,Staphylococcus aureus,1,L05,B09,461333.333,5.664,461333.3333333333,5.656433333333333,3
SA_040,Staphylococcus aureus,1,L04,B01,22933333.333,7.3605,22933333.333333332,7.358333333333333,3
SA_041,Staphylococcus aureus,0,L05,B05,0.0,,0.0,,3
SA_042,Staphylococcus aureus,1,L03,B08,1950.0,3.29,1950.0,3.2892999999999994,3
SA_043,Staphylococcus aureus,1,L05,B08,213.333,2.3291,213.33333333333334,2.3237666666666668,3
SA_044,Staphylococcus aureus,1,L02,B02,21900000.0,7.3404,21900000.0,7.339700000000001,3
SA_045,Staphylococcus aureus,1,L04,B07,37700.0,4.5763,37700.0,4.575333333333333,3
SA_046,Staphylococcus aureus,0,L01,B01,3.333,0.5229,3.3333333333333335,1.0,3
SA_047,Staphylococcus aureus,0,L03,B08,6.667,0.8239,6.666666666666667,1.301,3
SA_048,Staphylococcus aureus,0,L05,B01,0.0,,0.0,,3
SA_049,Staphylococcus aureus,1,L04,B03,1626666.667,6.2113,1626666.6666666667,6.2108,3
SA_050,Staphylococcus aureus,1,L01,B02,5466.667,3.7377,5466.666666666667,3.736933333333333,3
SA_051,Staphylococcus aureus,1,L04,B05,31500.0,4.4983,31500.0,4.4981,3
SA_052,Staphylococcus aureus,1,L04,B02,211333.333,5.325,211333.33333333334,5.3246,3
SA_053,Staphylococcus aureus,1,L04,B05,473.333,2.6752,473.3333333333333,2.6738666666666666,3
SA_054,Staphylococcus aureus,1,L02,B08,236.667,2.3741,236.66666666666666,2.3625666666666665,3
SA_055,Staphylococcus aureus,1,L04,B07,1763333.333,6.2463,1763333.3333333333,6.246133333333333,3
SA_056,Staphylococcus aureus,1,L03,B02,11433333.333,7.0582,11433333.333333334,7.057066666666667,3
SA_057,Staphylococcus aureus,0,L05,B10,0.0,,0.0,,3
SA_058,Staphylococcus aureus,1,L05,B03,1073.333,3.0307,1073.3333333333333,3.027066666666667,3
SA_059,Staphylococcus aureus,0,L05,B04,3.333,0.5229,3.3333333333333335,1.0,3
SA_060,Staphylococcus aureus,1,L02,B07,583.333,2.7659,583.3333333333334,2.7650333333333332,3
SA_061,Staphylococcus aureus,1,L02,B08,42666.667,4.6301,42666.666666666664,4.6296,3
SA_062,Staphylococcus aureus,1,L01,B01,104000.0,5.017,104000.0,5.015233333333334,3
SA_063,Staphylococcus aureus,1,L02,B03,633333.333,5.8016,633333.3333333334,5.797000000000001,3
SA_064,Staphylococcus aureus,1,L03,B09,15500.0,4.1903,15500.0,4.188366666666667,3
SA_065,Staphylococcus aureus,1,L01,B07,352000.0,5.5465,352000.0,5.5465333333333335,3
SA_066,Staphylococcus aureus,1,L03,B06,111000.0,5.0453,111000.0,5.0437,3
SA_067,Staphylococcus aureus,1,L02,B07,376.667,2.576,376.6666666666667,2.575533333333333,3
SA_068,Staphylococcus aureus,1,L05,B03,6733.333,3.8282,6733.333333333333,3.8239666666666667,3
SA_069,Staphylococcus aureus,0,L03,B07,3.333,0.5229,3.3333333333333335,1.0,3
SA_070,Staphylococcus aureus,1,L02,B04,174333.333,5.2414,174333.33333333334,5.240933333333333,3
SA_071,Staphylococcus aureus,0,L05,B03,3.333,0.5229,3.3333333333333335,1.0,3
SA_072,Staphylococcus aureus,1,L05,B09,3036666.667,6.4824,3036666.6666666665,6.4808666666666666,3
SA_073,Staphylococcus aureus,1,L01,B06,237000.0,5.3747,237000.0,5.374366666666667,3
SA_074,Staphylococcus aureus,0,L01,B08,0.0,,0.0,,3
SA_075,Staphylococcus aureus,1,L01,B08,406.667,2.6092,406.6666666666667,2.6084666666666667,3
SA_076,Staphylococcus aureus,0,L04,B04,10.0,1.0,10.0,1.1505,3
SA_077,Staphylococcus aureus,1,L05,B07,2310000.0,6.3636,2310000.0,6.360333333333333,3
SA_078,Staphylococcus aureus,1,L02,B07,373.333,2.5721,373.3333333333333,2.5711333333333335,3
SA_079,Staphylococcus aureus,0,L05,B03,0.0,,0.0,,3
SA_080,Staphylococcus aureus,1,L03,B07,710.0,2.8513,710.0,2.8454,3
SA_081,Staphylococcus aureus,1,L03,B06,309333.333,5.4904,309333.3333333333,5.490266666666667,3
SA_082,Staphylococcus aureus,1,L03,B04,159666.667,5.2032,159666.66666666666,5.2031,3
SA_083,Staphylococcus aureus,1,L01,B08,800.0,2.9031,800.0,2.8998333333333335,3
SA_084,Staphylococcus aureus,1,L05,B03,286.667,2.4574,286.6666666666667,2.4413666666666667,3
SA_085,Staphylococcus aureus,1,L01,B05,1376666.667,6.1388,1376666.6666666667,6.1382666666666665,3
SA_086,Staphylococcus aureus,1,L01,B02,45833.333,4.6612,45833.333333333336,4.658833333333334,3
SA_087,Staphylococcus aureus,1,L01,B08,513333.333,5.7104,513333.3333333333,5.7072,3
SA_088,Staphylococcus aureus,1,L01,B02,8066.667,3.9067,8066.666666666667,3.9058333333333333,3
SA_089,Staphylococcus aureus,1,L01,B05,456.667,2.6596,456.6666666666667,2.6517,3
SA_090,Staphylococcus aureus,1,L05,B09,112666.667,5.0518,112666.66666666667,5.051366666666667,3
SA_091,Staphylococcus aureus,1,L04,B04,10500.0,4.0212,10500.0,4.018466666666666,3
SA_092,Staphylococcus aureus,0,L02,B01,0.0,,0.0,,3
SA_093,Staphylococcus aureus,1,L04,B04,437333.333,5.6408,437333.3333333333,5.6363666666666665,3
SA_094,Staphylococcus aureus,1,L01,B01,14500000.0,7.1614,14500000.0,7.161333333333334,3
SA_095,Staphylococcus aureus,1,L03,B01,6866666.667,6.8367,6866666.666666667,6.834966666666666,3
SA_096,Staphylococcus aureus,1,L05,B01,400.0,2.6021,400.0,2.5908333333333333,3
SA_097,Staphylococcus aureus,1,L04,B10,480.0,2.6812,480.0,2.6790333333333334,3
SA_098,Staphylococcus aureus,0,L02,B07,3.333,0.5229,3.3333333333333335,1.0,3
SA_099,Staphylococcus aureus,1,L01,B06,1313333.333,6.1184,1313333.3333333333,6.116033333333333,3
SA_100,Staphylococcus aureus,1,L05,B03,23366.667,4.3686,23366.666666666668,4.3627,3
